vertical,customer,domain,primary_use_case,evidence,outcome
Tier-1 Bank / FI,Capital One,capitalone.com,"KYC/CIP, fraud",socure.com,
Tier-1 Bank / FI,Citi,citi.com,"KYC/CIP, fraud",socure.com,
Tier-1 Bank / FI,Discover,discover.com,"KYC/CIP, fraud",socure.com,
Tier-1 Bank / FI,Green Dot,greendot.com,"KYC/CIP, fraud",research,
Tier-1 Bank / FI,Dave,dave.com,"Onboarding, fraud",socure.com,
Tier-1 Bank / FI,Nubank,nubank.com.br,"KYC/CIP, fraud",socure.com,
Tier-1 Bank / FI,Revolut,revolut.com,"KYC/CIP, fraud",socure.com,
Neobank / Fintech,Chime,chime.com,"KYC/CIP, fraud",socure.com,
Neobank / Fintech,SoFi,sofi.com,"KYC/CIP, fraud",socure.com,
Neobank / Fintech,Varo,varomoney.com,"Onboarding, fraud",socure.com,
Neobank / Fintech,Cash App,cash.app,"KYC/CIP, fraud",socure.com,
Neobank / Fintech,Lili,lili.co,"KYC/CIP, Synthetic ID, DocV, Fraud",socure.com + case study,+13% auto-approval
Investing / Crypto,Robinhood,robinhood.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,Public,public.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,Stash,stash.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,TradeStation,tradestation.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,Coinbase,coinbase.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,Gemini,gemini.com,"KYC/CIP, fraud",socure.com,
Investing / Crypto,Kalshi,kalshi.com,"KYC/CIP, age",socure.com,
Investing / Wealth,Betterment,betterment.com,"KYC, Synthetic ID, DocV, Fraud",socure.com + case study,+30% auto-approval
iGaming / Betting,DraftKings,draftkings.com,"Age, KYC, AML",socure.com,
iGaming / Betting,PrizePicks,prizepicks.com,"Age, KYC, fraud",socure.com,
iGaming / Betting,Underdog,underdogfantasy.com,"Age, KYC, fraud",socure.com,
iGaming / Betting,Fanatics,fanatics.com,"Age, KYC, fraud",socure.com,
iGaming / Betting,Caesars Entertainment,caesars.com,"Age, KYC, AML",socure.com,
Marketplace / Social / HR,Uber,uber.com,"Onboarding, fraud",socure.com,
Marketplace / Social / HR,LinkedIn,linkedin.com,"Identity, fraud",socure.com,
Marketplace / Social / HR,TikTok,tiktok.com,"Identity, fraud",socure.com,
Marketplace / Social / HR,Angi,angi.com,"Onboarding, fraud",research,
Marketplace / Social / HR,Poshmark,poshmark.com,"Seller/buyer trust",research,
Marketplace / Social / HR,Gusto,gusto.com,"Worker onboarding",research,
Marketplace / Social / HR,Dwellsy,dwellsy.com,"Identity, fraud",socure.com,
Marketplace / Social / HR,InGo,,"Identity, fraud",socure.com,
Legal / Agreements,Proof,proof.com,"Fraud/forgery (Sigma in Defend)",partner case study,Partnership confirmed
Public Sector,State of California,,"Remote identity proofing",socure.com,94% instant verification (CA Mortgage Relief)
Public Sector,State of New York,,"Identity proofing",socure.com,
Public Sector,State of Texas,,"Identity proofing",socure.com,
Public Sector,State of Florida,,"DHSMV identity proofing",research (seal),
Public Sector,State of Ohio,,"Identity proofing",research (seal),
Public Sector,Login.gov,login.gov,"Federal identity proofing",socure.com,
Public Sector,FSA (Federal Student Aid),,"Identity proofing",socure.com,
Anonymous ref,US challenger bank,,"Auto-approval",case study,62% → 85% auto-acceptance
Anonymous ref,Leading online lender,,"Fraud reduction",case study,Fraud −50%; auto-accept +20%
